"Datum","Standort","Richtung","Spur","Klasse.ID","Klasse.Text","Intervall","Anzahl","Status"
"2018-01-01T14:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",113,"provisorisch"
"2018-01-01T14:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",1,"provisorisch"
"2018-01-01T14:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",14,"provisorisch"
"2018-01-01T14:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",96,"provisorisch"
"2018-01-01T14:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",6,"provisorisch"
"2018-01-01T15:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",5,"provisorisch"
"2018-01-01T15:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",102,"provisorisch"
"2018-01-01T15:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-01T15:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",10,"provisorisch"
"2018-01-01T15:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",118,"provisorisch"
"2018-01-01T15:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",8,"provisorisch"
"2018-01-01T16:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",6,"provisorisch"
"2018-01-01T16:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",113,"provisorisch"
"2018-01-01T16:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",2,"provisorisch"
"2018-01-01T16:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",12,"provisorisch"
"2018-01-01T16:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",93,"provisorisch"
"2018-01-01T16:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",5,"provisorisch"
"2018-01-01T17:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",5,"provisorisch"
"2018-01-01T17:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",116,"provisorisch"
"2018-01-01T17:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-01T17:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",10,"provisorisch"
"2018-01-01T17:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",119,"provisorisch"
"2018-01-01T17:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",7,"provisorisch"
"2018-01-01T18:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",4,"provisorisch"
"2018-01-01T18:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",90,"provisorisch"
"2018-01-01T18:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-01T18:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",3,"provisorisch"
"2018-01-01T18:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",68,"provisorisch"
"2018-01-01T18:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",8,"provisorisch"
"2018-01-01T19:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-01T19:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",61,"provisorisch"
"2018-01-01T19:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-01T19:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-01T19:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",50,"provisorisch"
"2018-01-01T19:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",8,"provisorisch"
"2018-01-01T20:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-01T20:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",47,"provisorisch"
"2018-01-01T20:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-01T20:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",4,"provisorisch"
"2018-01-01T20:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",61,"provisorisch"
"2018-01-01T20:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",8,"provisorisch"
"2018-01-01T21:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-01T21:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",60,"provisorisch"
"2018-01-01T21:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-01T21:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",3,"provisorisch"
"2018-01-01T21:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",51,"provisorisch"
"2018-01-01T21:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",9,"provisorisch"
"2018-01-01T22:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-01T22:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",35,"provisorisch"
"2018-01-01T22:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",1,"provisorisch"
"2018-01-01T22:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",3,"provisorisch"
"2018-01-01T22:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",40,"provisorisch"
"2018-01-01T22:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",6,"provisorisch"
"2018-01-01T23:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-01T23:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",34,"provisorisch"
"2018-01-01T23:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-01T23:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",1,"provisorisch"
"2018-01-01T23:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",38,"provisorisch"
"2018-01-01T23:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",8,"provisorisch"
"2018-01-02T00:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-02T00:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",21,"provisorisch"
"2018-01-02T00:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T00:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",1,"provisorisch"
"2018-01-02T00:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",19,"provisorisch"
"2018-01-02T00:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",5,"provisorisch"
"2018-01-02T01:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-02T01:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",21,"provisorisch"
"2018-01-02T01:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T01:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",1,"provisorisch"
"2018-01-02T01:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",20,"provisorisch"
"2018-01-02T01:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T02:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T02:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",5,"provisorisch"
"2018-01-02T02:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T02:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T02:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",7,"provisorisch"
"2018-01-02T02:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T03:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T03:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",6,"provisorisch"
"2018-01-02T03:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T03:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T03:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",5,"provisorisch"
"2018-01-02T03:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T04:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T04:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",9,"provisorisch"
"2018-01-02T04:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T04:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",3,"provisorisch"
"2018-01-02T04:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",17,"provisorisch"
"2018-01-02T04:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T05:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T05:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",8,"provisorisch"
"2018-01-02T05:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",1,"provisorisch"
"2018-01-02T05:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-02T05:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",20,"provisorisch"
"2018-01-02T05:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",6,"provisorisch"
"2018-01-02T06:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T06:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",13,"provisorisch"
"2018-01-02T06:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
"2018-01-02T06:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",6,"provisorisch"
"2018-01-02T06:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",29,"provisorisch"
"2018-01-02T06:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",7,"provisorisch"
"2018-01-02T07:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",2,"provisorisch"
"2018-01-02T07:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",21,"provisorisch"
"2018-01-02T07:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",1,"provisorisch"
"2018-01-02T07:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,101,"Zweirad","h1",5,"provisorisch"
"2018-01-02T07:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,102,"Personenwagen","h1",17,"provisorisch"
"2018-01-02T07:00+0100","Zch_Stampfenbachstrasse","Stampfenbachplatz",0,103,"Lastwagen","h1",4,"provisorisch"
"2018-01-02T08:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,101,"Zweirad","h1",0,"provisorisch"
"2018-01-02T08:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,102,"Personenwagen","h1",30,"provisorisch"
"2018-01-02T08:00+0100","Zch_Stampfenbachstrasse","Schaffhauserplatz",0,103,"Lastwagen","h1",0,"provisorisch"
