"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2009-01-01T10:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",90.59,"bereinigt"
"2009-01-01T10:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.6,"bereinigt"
"2009-01-01T10:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",978.74,"bereinigt"
"2009-01-01T11:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",86.9,"bereinigt"
"2009-01-01T11:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T11:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.68,"bereinigt"
"2009-01-01T11:00+0100","Zch_Schimmelstrasse","WD","h1","°",339.95,"bereinigt"
"2009-01-01T11:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.11,"bereinigt"
"2009-01-01T11:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",87.1,"bereinigt"
"2009-01-01T11:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.4,"bereinigt"
"2009-01-01T11:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",978.28,"bereinigt"
"2009-01-01T12:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.8,"bereinigt"
"2009-01-01T12:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T12:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.28,"bereinigt"
"2009-01-01T12:00+0100","Zch_Schimmelstrasse","WD","h1","°",352.58,"bereinigt"
"2009-01-01T12:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.06,"bereinigt"
"2009-01-01T12:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",84.27,"bereinigt"
"2009-01-01T12:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.03,"bereinigt"
"2009-01-01T12:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.55,"bereinigt"
"2009-01-01T13:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",84.38,"bereinigt"
"2009-01-01T13:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T13:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.27,"bereinigt"
"2009-01-01T13:00+0100","Zch_Schimmelstrasse","WD","h1","°",24.25,"bereinigt"
"2009-01-01T13:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.47,"bereinigt"
"2009-01-01T13:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",86.9,"bereinigt"
"2009-01-01T13:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.92,"bereinigt"
"2009-01-01T13:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977,"bereinigt"
"2009-01-01T14:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85.78,"bereinigt"
"2009-01-01T14:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T14:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.78,"bereinigt"
"2009-01-01T14:00+0100","Zch_Schimmelstrasse","WD","h1","°",330.55,"bereinigt"
"2009-01-01T14:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.41,"bereinigt"
"2009-01-01T14:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",86.32,"bereinigt"
"2009-01-01T14:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.58,"bereinigt"
"2009-01-01T14:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.74,"bereinigt"
"2009-01-01T15:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85.73,"bereinigt"
"2009-01-01T15:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T15:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.77,"bereinigt"
"2009-01-01T15:00+0100","Zch_Schimmelstrasse","WD","h1","°",346.08,"bereinigt"
"2009-01-01T15:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.35,"bereinigt"
"2009-01-01T15:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",87.07,"bereinigt"
"2009-01-01T15:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.5,"bereinigt"
"2009-01-01T15:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.69,"bereinigt"
"2009-01-01T16:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",86.65,"bereinigt"
"2009-01-01T16:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T16:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.37,"bereinigt"
"2009-01-01T16:00+0100","Zch_Schimmelstrasse","WD","h1","°",2.85,"bereinigt"
"2009-01-01T16:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.56,"bereinigt"
"2009-01-01T16:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",87.82,"bereinigt"
"2009-01-01T16:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.92,"bereinigt"
"2009-01-01T16:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.72,"bereinigt"
"2009-01-01T17:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",88.1,"bereinigt"
"2009-01-01T17:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T17:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.98,"bereinigt"
"2009-01-01T17:00+0100","Zch_Schimmelstrasse","WD","h1","°",6.14,"bereinigt"
"2009-01-01T17:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.53,"bereinigt"
"2009-01-01T17:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",88.68,"bereinigt"
"2009-01-01T17:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.62,"bereinigt"
"2009-01-01T17:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.73,"bereinigt"
"2009-01-01T18:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",86.67,"bereinigt"
"2009-01-01T18:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T18:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.93,"bereinigt"
"2009-01-01T18:00+0100","Zch_Schimmelstrasse","WD","h1","°",27.17,"bereinigt"
"2009-01-01T18:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.54,"bereinigt"
"2009-01-01T18:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",88.12,"bereinigt"
"2009-01-01T18:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.43,"bereinigt"
"2009-01-01T18:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.62,"bereinigt"
"2009-01-01T19:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",88.12,"bereinigt"
"2009-01-01T19:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T19:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.47,"bereinigt"
"2009-01-01T19:00+0100","Zch_Schimmelstrasse","WD","h1","°",346.35,"bereinigt"
"2009-01-01T19:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.54,"bereinigt"
"2009-01-01T19:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",88.48,"bereinigt"
"2009-01-01T19:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.1,"bereinigt"
"2009-01-01T19:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.58,"bereinigt"
"2009-01-01T20:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",86.88,"bereinigt"
"2009-01-01T20:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T20:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.33,"bereinigt"
"2009-01-01T20:00+0100","Zch_Schimmelstrasse","WD","h1","°",344.57,"bereinigt"
"2009-01-01T20:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.5,"bereinigt"
"2009-01-01T20:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",87.42,"bereinigt"
"2009-01-01T20:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.05,"bereinigt"
"2009-01-01T20:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.52,"bereinigt"
"2009-01-01T21:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85,"bereinigt"
"2009-01-01T21:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T21:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.23,"bereinigt"
"2009-01-01T21:00+0100","Zch_Schimmelstrasse","WD","h1","°",1.58,"bereinigt"
"2009-01-01T21:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.52,"bereinigt"
"2009-01-01T21:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",85.67,"bereinigt"
"2009-01-01T21:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0,"bereinigt"
"2009-01-01T21:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.28,"bereinigt"
"2009-01-01T22:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.22,"bereinigt"
"2009-01-01T22:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T22:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.37,"bereinigt"
"2009-01-01T22:00+0100","Zch_Schimmelstrasse","WD","h1","°",357.82,"bereinigt"
"2009-01-01T22:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.34,"bereinigt"
"2009-01-01T22:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",83.93,"bereinigt"
"2009-01-01T22:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0,"bereinigt"
"2009-01-01T22:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",975.88,"bereinigt"
"2009-01-01T23:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83,"bereinigt"
"2009-01-01T23:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T23:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.3,"bereinigt"
"2009-01-01T23:00+0100","Zch_Schimmelstrasse","WD","h1","°",359.02,"bereinigt"
"2009-01-01T23:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.39,"bereinigt"
"2009-01-01T23:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",83.67,"bereinigt"
"2009-01-01T23:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.15,"bereinigt"
"2009-01-01T23:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",975.57,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",82.68,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.2,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","WD","h1","°",1.14,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.51,"bereinigt"
"2009-01-02T00:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",83.58,"bereinigt"
"2009-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.23,"bereinigt"
"2009-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",975.16,"bereinigt"
"2009-01-02T01:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.15,"bereinigt"
"2009-01-02T01:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T01:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.23,"bereinigt"
"2009-01-02T01:00+0100","Zch_Schimmelstrasse","WD","h1","°",359.49,"bereinigt"
"2009-01-02T01:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.32,"bereinigt"
"2009-01-02T01:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",83.25,"bereinigt"
"2009-01-02T01:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.15,"bereinigt"
"2009-01-02T01:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",974.72,"bereinigt"
"2009-01-02T02:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.32,"bereinigt"
"2009-01-02T02:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T02:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.33,"bereinigt"
"2009-01-02T02:00+0100","Zch_Schimmelstrasse","WD","h1","°",24.85,"bereinigt"
"2009-01-02T02:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.4,"bereinigt"
"2009-01-02T02:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",83.83,"bereinigt"
"2009-01-02T02:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.12,"bereinigt"
"2009-01-02T02:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",974.62,"bereinigt"
"2009-01-02T03:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.82,"bereinigt"
"2009-01-02T03:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T03:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.23,"bereinigt"
"2009-01-02T03:00+0100","Zch_Schimmelstrasse","WD","h1","°",0.26,"bereinigt"
"2009-01-02T03:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.31,"bereinigt"
"2009-01-02T03:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",85.22,"bereinigt"
